pivot_w,rr,sl_points,max_trades_day,no_new_last_min,wait_open,dt_tol,db_tol,min_bars,max_bars,cooldown,trades,win_rate,profit_factor,total_return,monthly_return,max_dd,score
3,1.8,160.0,1,40,10,0.0015,0.001,4,30,2,46,0.391304347826087,0.8515872780613588,-0.010216365153308704,-0.006941594367714465,-0.028137515271104085,1.348023070523698
3,1.5,160.0,1,20,30,0.001,0.0008,2,60,4,42,0.5238095238095238,1.173197422872696,0.007453774028065574,0.005050141860905022,-0.011376731417689911,2.0169368806901447
2,1.5,130.0,2,50,10,0.0008,0.001,4,40,0,62,0.3709677419354839,0.7180939815248649,-0.026078849808894744,-0.01776535664812595,-0.03872874897878675,1.0376456252295692
3,1.4,140.0,2,30,20,0.0008,0.0012,2,40,6,60,0.43333333333333335,0.973003093131817,-0.0019003839626885455,-0.001289498315442561,-0.016000572414291203,1.6831852186884375
3,1.6,160.0,1,20,20,0.001,0.0015,5,60,0,46,0.45652173913043476,1.0719169146946814,0.00351876446999122,0.0023855653851057035,-0.012843351512581425,1.844899786047379
2,1.4,140.0,3,20,25,0.0008,0.001,5,60,6,52,0.4423076923076923,0.9217274322983173,-0.004604303689658362,-0.003125594903341078,-0.020148538773778424,1.5466951565780769
3,1.5,140.0,1,30,30,0.0008,0.0008,4,20,4,40,0.475,0.9962792315779926,-0.0003156545473772532,-0.00021413156653571352,-0.015110031921575673,1.682045603305249
2,1.6,160.0,3,50,30,0.0012,0.0008,3,20,4,66,0.45454545454545453,1.04005769480679,0.0025355189928109034,0.0017192400621834913,-0.023138793300084393,1.7800077029071464
2,1.8,140.0,2,40,15,0.001,0.0012,5,50,0,57,0.40350877192982454,0.8426035810460659,-0.011146869040791096,-0.007574975315053689,-0.017080525569711735,1.423322415630399
3,1.8,180.0,1,30,30,0.0012,0.001,5,24,2,41,0.5121951219512195,1.23253668078198,0.00884286988379479,0.0059899628732069665,-0.011370496566147859,2.111001744761739
3,1.8,120.0,2,30,20,0.0006,0.0008,4,20,2,52,0.4423076923076923,1.1077903439838253,0.006447663939724624,0.004369177350866726,-0.01638514218150322,1.9083280816936523
2,1.8,130.0,1,20,10,0.001,0.0012,3,24,0,48,0.3958333333333333,0.9302468695516861,-0.004947149482804947,-0.0033585188639599917,-0.024048583079416597,1.5242106549393495
2,1.5,160.0,3,30,15,0.0015,0.0008,5,20,2,57,0.47368421052631576,0.9852809787473771,-0.0010209382087739138,-0.000692655660843644,-0.01960974215201372,1.6772217699222343
3,1.4,160.0,1,30,15,0.0012,0.0015,3,60,0,46,0.4782608695652174,1.0723470225060225,0.003601512526669959,0.002441632465828736,-0.015539440746427102,1.829816949007101
2,1.4,180.0,3,50,15,0.0012,0.0015,2,50,4,73,0.410958904109589,0.8714608134890761,-0.010033770519813245,-0.0068173272454210565,-0.023762257342710313,1.4725790582139837
