ema_fast,ema_slow,atr_len,rr,atr_sl_mult,range_lookback,range_atr_factor,min_atr_pct,is_trades,is_monthly,is_mdd,is_pf,oos_trades,oos_monthly,oos_mdd,oos_pf,oos_win_rate,score
45,166,24,2.22,0.82,24,1.19,0.292,0,0.0,0.0,,2,0.004967256355188798,-0.002866641471508169,1.8706788718778313,0.5,2.1401456578176217
71,166,23,2.44,1.12,31,1.81,0.069,21,-0.0247450382845128,-0.03406304442324026,0.4761568882129732,16,-0.02131443610860162,-0.02771507656656247,0.6863251112624935,0.25,0.7354150653764219
78,175,28,2.63,1.85,25,1.43,0.21,2,-0.005226464445350687,-0.00540201836772336,0.0,4,0.01520989646563109,-0.00533815447071706,2.4211634921211918,0.5,2.608398477127075
34,238,14,1.56,1.39,24,1.1,0.148,7,-0.012339977784356249,-0.01640364959553353,0.2247156063872759,7,0.0008950286002202823,-0.007969181608774911,1.045146393486906,0.42857142857142855,1.382134252510683
63,144,26,1.89,1.26,17,1.9,0.2,2,0.0016878211008668487,-0.002812565063417871,1.6248997557942926,8,-0.000271215386360657,-0.00636263373275503,0.9937903085552119,0.375,1.3097129821033533
53,230,17,2.37,1.39,13,2.06,0.232,2,-0.005246274707232268,-0.005422492229574805,0.0,5,0.006855052592410482,-0.00813716558152311,1.4241244052817836,0.4,1.6782890766095506
78,178,22,1.86,1.91,29,1.12,0.16,7,-0.011289694619160517,-0.011667710985443502,0.2775348208489066,6,-0.0035053356792198453,-0.0062601486879593216,0.8404980311688468,0.3333333333333333,1.1349625593811903
23,213,20,1.38,1.73,31,2.06,0.074,21,-0.027585932821510895,-0.035141354845932726,0.35721254007419906,10,-0.0316335409057622,-0.022057801332655558,0.2802476384427467,0.2,0.35453486980323745
50,159,14,3.16,0.76,9,1.61,0.325,1,-0.002757845847584983,-0.0028505991138825237,0.0,2,-0.011322561236680628,-0.0056773970368976245,0.0,0.0,0.15595724542476314
98,261,26,2.18,1.61,9,1.58,0.221,2,-0.005259320954501545,-0.005435975489780809,0.0,6,0.03222051131319814,-0.005379557154453707,3.955361096452064,0.6666666666666666,3.2791789213504963
70,292,21,1.61,1.96,11,1.4,0.202,3,-0.007753185111925243,-0.00801326767499877,0.0,9,0.01769858259606516,-0.005408741679611029,1.823725560128782,0.5555555555555556,2.200949289494843
31,166,10,2.42,1.0,18,2.1,0.146,13,-0.018690735315532447,-0.03065667738580302,0.37524561355769603,9,-0.015298215307447127,-0.01913195813604629,0.603550012575167,0.2222222222222222,0.7163692615197527
22,280,15,1.87,0.79,30,1.57,0.111,14,-0.017749706542858346,-0.028043252757978143,0.41548298803549355,10,-0.012565981611052046,-0.019309082017166523,0.678151581600468,0.3,0.8511180160321673
59,249,29,1.71,1.55,24,0.96,0.192,2,0.001302846989420292,-0.0027752676827534906,1.489404572539842,6,-0.005238501648121674,-0.008027678653406367,0.760279093982099,0.3333333333333333,1.0497145060326083
57,282,26,2.9,1.64,21,2.11,0.347,0,0.0,0.0,,0,0.0,0.0,,0.0,0.24
53,195,12,1.33,1.64,29,0.87,0.284,1,0.003104670708589774,0.0,,3,0.007522612298291209,-0.0026534549469667823,2.4174050226056827,0.6666666666666666,2.7261201610353103
30,224,14,1.6,0.83,28,1.06,0.121,11,-0.01142415837657651,-0.019471311667033975,0.4803289357130027,11,-0.022444163301857945,-0.01852174624125913,0.49312353219562266,0.2727272727272727,0.6513966874674781
97,280,13,1.83,1.42,25,1.94,0.182,9,-0.009815822499806393,-0.010144742310199684,0.465386576121954,7,-0.009090943142798569,-0.008963239157237846,0.6626975675714153,0.2857142857142857,0.913993130132797
33,151,28,2.45,1.36,22,1.61,0.157,3,-0.008155377353343707,-0.008428894165956047,0.0,9,-0.03269039360281434,-0.016951178706756886,0.2650331027283371,0.1111111111111111,0.3045443670062461
85,172,17,1.66,1.36,13,2.12,0.238,3,-0.007878871639476426,-0.008143153063669195,0.0,5,-0.0003653254230306935,-0.00815170647058927,0.9809751291031807,0.4,1.2947718164923743
91,162,29,2.79,1.47,37,2.05,0.287,0,0.0,0.0,,1,-0.005402326194472673,-0.0027048211258978716,0.0,0.0,0.20008545954825965
57,216,14,2.76,0.8,11,1.6,0.279,2,-0.005440656628209806,-0.005623384786605068,0.0,5,-0.009315939962859399,-0.00850683872022362,0.5916910371246377,0.2,0.7847010267531503
93,219,15,2.27,1.13,31,1.65,0.201,7,-0.002778373257741107,-0.005572168690064605,0.7949402514333967,7,-0.005467453235548203,-0.011054020601924841,0.8040057579482464,0.2857142857142857,1.0248073905057673
27,124,24,2.02,1.68,34,1.7,0.258,1,-0.002602182564254707,-0.0026897075476235432,0.0,2,-0.01067375788407221,-0.005351196594532759,0.0,0.0,0.16116206237411573
55,145,20,2.4,1.76,17,1.28,0.118,14,-0.028875529093889463,-0.035473541716718016,0.16212650944197665,10,-0.0026079734024455625,-0.013483908465948935,0.9349705840445083,0.3,1.1430066392315663
42,166,23,2.43,1.88,25,1.66,0.055,21,-0.03127485237222227,-0.04368618528785939,0.3523987111547856,14,0.007835208463482735,-0.011804631616411654,1.1589759120973282,0.35714285714285715,1.4364654629814526
79,290,21,1.4,1.89,12,2.09,0.262,1,-0.002567223366372162,-0.0026535740543175423,0.0,3,-0.0038405131968830553,-0.005300673091980013,0.6399312518506381,0.3333333333333333,0.970844230623805
50,241,18,2.05,1.63,29,2.07,0.087,14,-0.022441570874204952,-0.032818070863948945,0.29804674946859006,10,-0.023666915854208437,-0.016825358177458227,0.4564117485457638,0.2,0.5691922033334449
40,209,23,1.57,1.77,8,2.02,0.206,2,-0.005224477721149312,-0.0053999650918964415,0.0,8,0.02190829811370243,-0.005330239562733374,2.3478101437460954,0.625,2.6899060576164855
59,262,30,1.96,1.64,17,1.92,0.051,34,-0.030902645354956237,-0.05395430899402731,0.5619624916487007,19,-0.017966584427731802,-0.019579638347633987,0.7558447965410389,0.3157894736842105,0.9321373050215338
