ema_fast,ema_slow,breakout_len,atr_len,atr_sl_mult,rr,vol_len,vol_factor,is_monthly,is_mdd,is_pf,is_trades,oos_monthly,oos_mdd,oos_pf,oos_trades,oos_win
10,85,44,28,1.08,1.65,30,1.72,-0.002430799862695565,-0.016603416508371382,0.9099107475252933,42,-0.0011080644530954142,-0.00947937516798214,0.950360184011762,15,0.4
49,121,16,17,2.16,1.21,32,1.66,-0.005267639509055511,-0.01874670106494769,0.7727075798387565,40,0.0013408344008469797,-0.01034914805799203,1.0866284233461578,14,0.5
47,196,14,25,1.62,3.4,31,1.38,-0.0019052471611687993,-0.02149954357702355,0.9108711052513992,26,0.007767129433270625,-0.007925090909359112,1.5715889879053422,9,0.3333333333333333
15,127,40,24,2.13,1.87,33,0.81,-0.006059215606697088,-0.024958276973436333,0.7348122401710752,33,-0.002520100669991754,-0.010391662988361028,0.8642396152469916,12,0.3333333333333333
30,98,14,24,2.43,1.56,29,0.89,-0.006081909992316059,-0.019930628482810242,0.7632173411659522,40,-0.006222881305819272,-0.015585318996187869,0.7259996742663689,15,0.3333333333333333
49,117,14,8,1.33,2.15,26,1.15,-0.0019755271505547123,-0.0297390007468723,0.9294578593945958,39,-0.0029662782786404884,-0.021077298591079652,0.8598642789713411,13,0.3076923076923077
39,87,36,23,1.76,1.36,21,1.51,0.0006559659694163056,-0.012320497732715707,1.0372518050937864,36,0.00520964709643823,-0.007953243749993844,1.4565134874111771,11,0.5454545454545454
11,152,37,13,2.1,1.45,15,1.66,-0.005469348229064641,-0.02476003825128137,0.7522750988530684,35,0.007128737926429984,-0.005383013740291154,1.5227488091057721,13,0.5384615384615384
48,198,39,17,1.26,2.75,40,0.83,-0.016140994325628988,-0.0480839086355207,0.4251861141622926,32,-0.006262068590210834,-0.0149493165134299,0.7346560285164816,13,0.23076923076923078
37,88,14,15,0.85,1.73,31,1.0,-0.014039709411294954,-0.04470886863090495,0.726433990911706,72,-0.001289283279369724,-0.02779829219953911,0.9625954910028811,22,0.4090909090909091
